gear_item_id,gear_class_id,location_id,system_ids,author_id,review_date,source_type,source_url,rating,conditions_observed,durability,value,packability,usage_cycles_observed,usage_runtime_hours,failure_event_count,repair_event_count,pros,cons,use_case,version,evidence_quality
gear-01,cls-shell,loc-sand-rock,sys-clothing,author-01,2026-01-01,third_party_review,https://gear-source.example/review-001,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,20,5,1,1,good_weatherproofing,higher_weight,alpine_weekend,1,medium
gear-02,cls-insul,loc-linville-gorge,sys-clothing,author-02,2026-02-02,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,21,6,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-03,cls-tent,loc-red-river-gorge,sys-shelter,author-03,2026-03-03,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,22,7,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-04,cls-pad,loc-sand-rock,sys-sleep,author-04,2026-01-04,internal_admin,,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,23,8,0,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-05,cls-bag,loc-linville-gorge,sys-sleep,author-05,2026-02-05,internal_admin,,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,24,9,1,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-06,cls-stove,loc-red-river-gorge,sys-cooking,author-06,2026-03-06,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,25,10,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-07,cls-pot,loc-sand-rock,sys-cooking,author-07,2026-01-07,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,26,11,0,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-08,cls-filter,loc-linville-gorge,sys-water,author-08,2026-02-08,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,27,12,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-09,cls-nav,loc-red-river-gorge,sys-navigation,author-09,2026-03-09,internal_admin,,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,28,13,1,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-10,cls-med,loc-sand-rock,sys-medical,author-10,2026-01-10,internal_admin,,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,29,14,0,1,good_weatherproofing,higher_weight,alpine_weekend,1,medium
gear-11,cls-shell,loc-linville-gorge,sys-clothing,author-11,2026-02-11,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,20,15,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-12,cls-insul,loc-red-river-gorge,sys-clothing,author-12,2026-03-12,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,21,16,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-13,cls-tent,loc-sand-rock,sys-shelter,author-13,2026-01-13,internal_admin,,5,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,4,1,2,22,17,1,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-14,cls-pad,loc-linville-gorge,sys-sleep,author-14,2026-02-14,internal_admin,,1,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,5,2,3,23,18,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-15,cls-bag,loc-red-river-gorge,sys-sleep,author-15,2026-03-15,third_party_review,https://gear-source.example/review-015,2,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,1,3,4,24,19,0,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-16,cls-stove,loc-sand-rock,sys-cooking,author-16,2026-01-16,internal_admin,,3,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,2,4,5,25,20,0,1,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
gear-17,cls-pot,loc-linville-gorge,sys-cooking,author-17,2026-02-17,internal_admin,,4,Cold damp conditions with steady wind and overnight exposure details for fit and moisture handling.,3,5,1,26,21,1,0,good_weatherproofing,higher_weight,weekend_backpacking,1,medium
